Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 04:14;6.383333333;0;6.383333333;0;6.383333333;0;;
22.07.2017 04:15;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 04:16;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 04:17;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 04:18;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 04:19;6.19;0;6.19;0;6.19;0;;
22.07.2017 04:20;6.18;0;6.18;0;6.18;0;;
22.07.2017 04:21;6.16;0;6.16;0;6.16;0;;
22.07.2017 04:22;6.17;0;6.17;0;6.17;0;;
22.07.2017 04:23;6.196666667;0;6.196666667;0;6.196666667;0;;
22.07.2017 04:24;6.173333333;0;6.173333333;0;6.173333333;0;;
22.07.2017 04:25;6.183333333;0;6.183333333;0;6.183333333;0;;
22.07.2017 04:26;6.166666667;0;6.166666667;0;6.166666667;0;;
22.07.2017 04:27;6.19;0;6.19;0;6.19;0;;
22.07.2017 04:28;6.17;0;6.17;0;6.17;0;;
22.07.2017 04:29;6.19;0;6.19;0;6.19;0;;
22.07.2017 04:30;6.17;0;6.17;0;6.17;0;;
22.07.2017 04:31;6.193333333;0;6.193333333;0;6.193333333;0;;
22.07.2017 04:32;6.2;0;6.2;0;6.2;0;;
22.07.2017 04:33;6.206666667;0;6.206666667;0;6.206666667;0;;
22.07.2017 04:34;6.166666667;0;6.166666667;0;6.166666667;0;;
22.07.2017 04:35;6.186666667;0;6.186666667;0;6.186666667;0;;
22.07.2017 04:36;6.196666667;0;6.196666667;0;6.196666667;0;;
22.07.2017 04:37;6.193333333;0;6.193333333;0;6.193333333;0;;
22.07.2017 04:38;6.17;0;6.17;0;6.17;0;;
22.07.2017 04:39;6.176666667;0;6.176666667;0;6.176666667;0;;
22.07.2017 04:40;6.183333333;0;6.183333333;0;6.183333333;0;;
22.07.2017 04:41;7.616666667;0;7.616666667;0;7.616666667;0;;
22.07.2017 04:42;7.616666667;0;7.616666667;0;7.616666667;0;;
22.07.2017 04:43;7.126666667;0;7.126666667;0;7.126666667;0;;
22.07.2017 04:44;7.14;0;7.14;0;7.14;0;;
22.07.2017 04:45;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 04:46;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 04:47;7.136666667;0;7.136666667;0;7.136666667;0;;
22.07.2017 04:48;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 04:49;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 04:50;7.14;0;7.14;0;7.14;0;;
22.07.2017 04:51;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 04:52;7.146666667;0;7.146666667;0;7.146666667;0;;
22.07.2017 04:53;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 04:54;7.133333333;0;7.133333333;0;7.133333333;0;;
22.07.2017 04:55;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 04:56;7.16;0;7.16;0;7.16;0;;
22.07.2017 04:57;7.136666667;0;7.136666667;0;7.136666667;0;;
22.07.2017 04:58;7.126666667;0;7.126666667;0;7.126666667;0;;
22.07.2017 04:59;7.14;0;7.14;0;7.14;0;;
22.07.2017 05:00;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 05:01;6.876666667;0;6.876666667;0;6.876666667;0;;
22.07.2017 05:02;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 05:03;6.41;0;6.41;0;6.41;0;;
22.07.2017 05:04;6.44;0;6.44;0;6.44;0;;
22.07.2017 05:05;6.406666667;0;6.406666667;0;6.406666667;0;;
22.07.2017 05:06;6.406666667;0;6.406666667;0;6.406666667;0;;
22.07.2017 05:07;6.43;0;6.43;0;6.43;0;;
22.07.2017 05:08;6.403333333;0;6.403333333;0;6.403333333;0;;
22.07.2017 05:09;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 05:10;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 05:11;6.43;0;6.43;0;6.43;0;;
22.07.2017 05:12;6.43;0;6.43;0;6.43;0;;
22.07.2017 05:13;6.41;0;6.41;0;6.41;0;;
22.07.2017 05:14;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 05:15;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 05:16;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 05:17;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 05:18;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 05:19;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 05:20;6.433333333;0;6.433333333;0;6.433333333;0;;
22.07.2017 05:21;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 05:22;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 05:23;6.423333333;0;6.423333333;0;6.423333333;0;;
22.07.2017 05:24;6.41;0;6.41;0;6.41;0;;
22.07.2017 05:25;6.436666667;0;6.436666667;0;6.436666667;0;;
22.07.2017 05:26;6.426666667;0;6.426666667;0;6.426666667;0;;
22.07.2017 05:27;6.433333333;0;6.433333333;0;6.433333333;0;;
22.07.2017 05:28;6.42;0;6.42;0;6.42;0;;
22.07.2017 05:29;6.416666667;0;6.416666667;0;6.416666667;0;;
22.07.2017 05:30;6.44;0;6.44;0;6.44;0;;
22.07.2017 05:31;6.436666667;0;6.436666667;0;6.436666667;0;;
22.07.2017 05:32;6.596666667;0;6.596666667;0;6.596666667;0;;
22.07.2017 05:33;7.62;0;7.62;0;7.62;0;;
22.07.2017 05:34;7.61;0;7.61;0;7.61;0;;
22.07.2017 05:35;7.623333333;0;7.623333333;0;7.623333333;0;;
22.07.2017 05:36;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 05:37;7.153333333;0;7.153333333;0;7.153333333;0;;
22.07.2017 05:38;7.156666667;0;7.156666667;0;7.156666667;0;;
22.07.2017 05:39;7.146666667;0;7.146666667;0;7.146666667;0;;
22.07.2017 05:40;7.156666667;0;7.156666667;0;7.156666667;0;;
22.07.2017 05:41;6.91;0;6.91;0;6.91;0;;
22.07.2017 05:42;6.903333333;0;6.903333333;0;6.903333333;0;;
22.07.2017 05:43;6.906666667;0;6.906666667;0;6.906666667;0;;
